Brewer,Name,Alc,Country,Rating,price
Vestfyen,SouthWorld,"7,2",England,6,
Refsvindinge,Skibsøl,"2,4",Danmark ,2,
Refsvindinge,Røde mor,"4,6",Danmark ,3,
Hancock,Dark,"9,5",Danmark,10,
Hancock,Saaz,"8,1",Danmark ,9,
Hancock,Black lager,5,Danmark ,8,
Rørvig Brygus,Odsherreds Dark ale,"6,2",Danmark,6,
Bryghuset solvang,Lys,"5,5",Danmark ,5,
Bryghuset solvang,Gylden,"4,5",Danmark ,6,
na,Tinsoldat ,"5,7",Danmark ,6,
na,Prinsessen på ærten,"3,5",Danmark ,1,
na,Tribute 47,"7,7",Danmark ,7,
na,Corsendonk,"7,5",Belgien,7,
na,Sct. peter's Chrismats Ale,7,England,6,
na,Krin Ichiban,5,Kina,4,
To Øl,Brokilde brown,"6,5",Danmark ,6,
Hertog Jan,Triple,"8,5",Holland,7,
Nibe,Styrbord,"5,5",Danmark,6,
Kwak,Amber beer,"8,4",Belgien,5,
Westmalle,Triple,"9,5",Belgien,7,
StFeuillien,Quadrupel,11,Belgien,7,
Indslev Beyggeri,Svane,"5,3",Belgium ,7,
Indslev Beyggeri,Tongerlo,8,Belgium ,9,
Indslev Beyggeri,Tripel ,9,Belgium ,7,
nan,Pokal Classic,"4,6",Danmark,3,"4,25"
nan,Calrsberg pils.,"4,6",Danmark,7,06.25
nan,Dansk guld,"5,7",Danmark,7,04.25
nan,Dansk pilsner,"4,6",Danmark,9,2
nan,Bruatlis,"7,7",Danmark,10,"7,25"
nan,Humleby ekstra strong,8,Danmark ,4,7
nan,Black bird,"4,8",Danmark,6,
nan,Den søde julegås,"7,8",Danmark,7,
nan,Stærke Julius,"8,5",Danmark,8,
nan,Brun sovs ,"4,8",Danmark ,3,
nan,Streng ale,7,Danmark ,7,
nan,Ale No. 24,"6,5",Danmark ,7,
nan,Leffe noel,"6,6",Danmark ,7,
