Brewer,Name,Alc,Country,Rating,price
na,Krin Ichiban,5,china,4,
To Øl,Brokilde brown,6.5,denmark,6,
Hertog Jan,Triple,8.5,netherland,7,
Nibe,Styrbord,5.5,denmark,6,
Kwak,Amber beer,8.4,belgian,5,
Westmalle,Triple,9.5,belgian,7,
StFeuillien,Quadrupel,11,belgian,7,
Indslev Beyggeri,Svane,5.3,belgian,7,
Indslev Beyggeri,Tongerlo,8,belgian,9,
Indslev Beyggeri,Tripel ,9,belgian,7,
,Pokal Classic,4.6,denmark,3,4.25
,Calrsberg pils.,4.6,denmark,7,06.25
,Dansk guld,5.7,denmark,7,04.25
,Dansk pilsner,4.6,denmark,9,2
,Bruatlis,7.7,denmark,10,7.25
,Humleby ekstra strong,8,denmark,4,7
,Black bird,4.8,denmark,6,
,Den søde julegås,7.8,denmark,7,
,Stærke Julius,8.5,denmark,8,
,Brun sovs ,4.8,denmark,3,
,Streng ale,7,denmark,7,
,Ale No. 24,6.5,denmark,7,
,Leffe noel,6.6,denmark,7,
